brand,feature,mentions,pos_share,avg_conf,score
lucid,fast_charging,16.0,0.9375,0.930596266875,1.0
tesla,solar_roof,2.0,1.0,0.91707247,0.9895833333333334
bentley,recycled_materials,2.0,1.0,0.933745,0.9875
rollsroyce,fast_charging,12.0,1.0,0.94383951,0.9875
ferrari,fast_charging,3.0,1.0,0.8711698366666667,0.9875
lucid,energy_efficiency,3.0,1.0,0.8603563533333333,0.9875
porsche,fast_charging,7.0,0.7142857142857143,0.8847349342857143,0.9249121592614514
bentley,fast_charging,8.0,1.0,0.93415004875,0.7480322269136116
tesla,solid_state_battery,2.0,0.5,0.90952372,0.6734529094907705
lucid,solar_roof,2.0,0.5,0.876436125,0.6018518518518519
tesla,fast_charging,27.0,0.7037037037037037,0.8749276585185186,0.5
