brand,feature,delta_pos_share,new_pos_share,new_score,new_rank,base_rank,base_score
bentley,fast_charging,-0.2,0.8,-0.9384479300823185,8,7,-0.9384479300823185
bentley,fast_charging,-0.1,0.9,-0.9384479300823185,8,7,-0.9384479300823185
bentley,fast_charging,-0.05,0.95,-0.9384479300823185,8,7,-0.9384479300823185
bentley,fast_charging,0.0,1.0,-0.9384479300823185,7,7,-0.9384479300823185
bentley,fast_charging,0.05,1.0,-0.9384479300823185,7,7,-0.9384479300823185
bentley,fast_charging,0.1,1.0,-0.9384479300823185,7,7,-0.9384479300823185
bentley,fast_charging,0.2,1.0,-0.9384479300823185,7,7,-0.9384479300823185
bentley,recycled_materials,-0.2,0.8,-0.8866217082951939,7,5,-0.8866217082951939
bentley,recycled_materials,-0.1,0.9,-0.8866217082951939,5,5,-0.8866217082951939
bentley,recycled_materials,-0.05,0.95,-0.8866217082951939,5,5,-0.8866217082951939
bentley,recycled_materials,0.0,1.0,-0.8866217082951939,5,5,-0.8866217082951939
bentley,recycled_materials,0.05,1.0,-0.8866217082951939,5,5,-0.8866217082951939
bentley,recycled_materials,0.1,1.0,-0.8866217082951939,5,5,-0.8866217082951939
bentley,recycled_materials,0.2,1.0,-0.8866217082951939,5,5,-0.8866217082951939
ferrari,fast_charging,-0.2,0.8,-0.8911933130126501,6,6,-0.8911933130126501
ferrari,fast_charging,-0.1,0.9,-0.8911933130126501,6,6,-0.8911933130126501
ferrari,fast_charging,-0.05,0.95,-0.8911933130126501,6,6,-0.8911933130126501
ferrari,fast_charging,0.0,1.0,-0.8911933130126501,6,6,-0.8911933130126501
ferrari,fast_charging,0.05,1.0,-0.8911933130126501,6,6,-0.8911933130126501
ferrari,fast_charging,0.1,1.0,-0.8911933130126501,6,6,-0.8911933130126501
ferrari,fast_charging,0.2,1.0,-0.8911933130126501,6,6,-0.8911933130126501
lucid,energy_efficiency,-0.2,0.8,-0.7305896491635931,3,3,-0.7305896491635931
lucid,energy_efficiency,-0.1,0.9,-0.7305896491635931,3,3,-0.7305896491635931
lucid,energy_efficiency,-0.05,0.95,-0.7305896491635931,3,3,-0.7305896491635931
lucid,energy_efficiency,0.0,1.0,-0.7305896491635931,3,3,-0.7305896491635931
lucid,energy_efficiency,0.05,1.0,-0.7305896491635931,3,3,-0.7305896491635931
lucid,energy_efficiency,0.1,1.0,-0.7305896491635931,3,3,-0.7305896491635931
lucid,energy_efficiency,0.2,1.0,-0.7305896491635931,3,3,-0.7305896491635931
lucid,fast_charging,-0.2,0.7375,-0.7220676487973127,3,2,-0.7220676487973127
lucid,fast_charging,-0.1,0.8375,-0.7220676487973127,3,2,-0.7220676487973127
lucid,fast_charging,-0.05,0.8875,-0.7220676487973127,3,2,-0.7220676487973127
lucid,fast_charging,0.0,0.9375,-0.7220676487973127,2,2,-0.7220676487973127
lucid,fast_charging,0.05,0.9875,-0.7220676487973127,2,2,-0.7220676487973127
lucid,fast_charging,0.1,1.0,-0.7220676487973127,2,2,-0.7220676487973127
lucid,fast_charging,0.2,1.0,-0.7220676487973127,2,2,-0.7220676487973127
lucid,solar_roof,-0.2,0.3,-1.046331484187481,10,10,-1.046331484187481
lucid,solar_roof,-0.1,0.4,-1.046331484187481,10,10,-1.046331484187481
lucid,solar_roof,-0.05,0.45,-1.046331484187481,10,10,-1.046331484187481
lucid,solar_roof,0.0,0.5,-1.046331484187481,10,10,-1.046331484187481
lucid,solar_roof,0.05,0.55,-1.046331484187481,10,10,-1.046331484187481
lucid,solar_roof,0.1,0.6,-1.046331484187481,10,10,-1.046331484187481
lucid,solar_roof,0.2,0.7,-1.046331484187481,10,10,-1.046331484187481
porsche,fast_charging,-0.2,0.5142857142857142,-0.9451071916235061,8,8,-0.9451071916235061
porsche,fast_charging,-0.1,0.6142857142857143,-0.9451071916235061,8,8,-0.9451071916235061
porsche,fast_charging,-0.05,0.6642857142857143,-0.9451071916235061,8,8,-0.9451071916235061
porsche,fast_charging,0.0,0.7142857142857143,-0.9451071916235061,8,8,-0.9451071916235061
porsche,fast_charging,0.05,0.7642857142857143,-0.9451071916235061,7,8,-0.9451071916235061
porsche,fast_charging,0.1,0.8142857142857143,-0.9451071916235061,7,8,-0.9451071916235061
porsche,fast_charging,0.2,0.9142857142857144,-0.9451071916235061,6,8,-0.9451071916235061
rollsroyce,fast_charging,-0.2,0.8,-0.8594539471793019,5,4,-0.8594539471793019
rollsroyce,fast_charging,-0.1,0.9,-0.8594539471793019,4,4,-0.8594539471793019
rollsroyce,fast_charging,-0.05,0.95,-0.8594539471793019,4,4,-0.8594539471793019
rollsroyce,fast_charging,0.0,1.0,-0.8594539471793019,4,4,-0.8594539471793019
rollsroyce,fast_charging,0.05,1.0,-0.8594539471793019,4,4,-0.8594539471793019
rollsroyce,fast_charging,0.1,1.0,-0.8594539471793019,4,4,-0.8594539471793019
rollsroyce,fast_charging,0.2,1.0,-0.8594539471793019,4,4,-0.8594539471793019
tesla,fast_charging,-0.2,0.5037037037037038,-1.1811256007235784,11,11,-1.1811256007235784
tesla,fast_charging,-0.1,0.6037037037037037,-1.1811256007235784,11,11,-1.1811256007235784
tesla,fast_charging,-0.05,0.6537037037037037,-1.1811256007235784,11,11,-1.1811256007235784
tesla,fast_charging,0.0,0.7037037037037037,-1.1811256007235784,11,11,-1.1811256007235784
tesla,fast_charging,0.05,0.7537037037037038,-1.1811256007235784,11,11,-1.1811256007235784
tesla,fast_charging,0.1,0.8037037037037037,-1.1811256007235784,11,11,-1.1811256007235784
tesla,fast_charging,0.2,0.9037037037037037,-1.1811256007235784,11,11,-1.1811256007235784
tesla,solar_roof,-0.2,0.8,-0.5141593863510812,1,1,-0.5141593863510812
