brand,feature,mentions,pos_share,neu_share,neg_share,avg_conf
rollsroyce,fast_charging,12.0,1.0,0.0,0.0,0.94383951
porsche,carbon_neutrality,1.0,1.0,0.0,0.0,0.6691503
rollsroyce,recycled_materials,1.0,1.0,0.0,0.0,0.9497858
tesla,solar_roof,2.0,1.0,0.0,0.0,0.9170724699999999
lucid,solid_state_battery,1.0,1.0,0.0,0.0,0.9435044
bentley,solid_state_battery,1.0,1.0,0.0,0.0,0.9474786
lucid,solar_roof,2.0,0.5,0.0,0.5,0.876436125
lucid,energy_efficiency,3.0,1.0,0.0,0.0,0.8603563533333333
lucid,carbon_neutrality,1.0,1.0,0.0,0.0,0.67969733
tesla,recycled_materials,1.0,1.0,0.0,0.0,0.9505181
bentley,carbon_neutrality,1.0,1.0,0.0,0.0,0.9406589
bentley,recycled_materials,2.0,1.0,0.0,0.0,0.933745
porsche,fast_charging,7.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.8847349342857143
ferrari,fast_charging,3.0,1.0,0.0,0.0,0.8711698366666667
porsche,solid_state_battery,1.0,1.0,0.0,0.0,0.9390089
bentley,solar_roof,1.0,0.0,0.0,1.0,0.6219576
tesla,fast_charging,27.0,0.7037037037037037,0.0,0.2962962962962963,0.8749276585185186
bentley,fast_charging,8.0,1.0,0.0,0.0,0.9341500487500001
tesla,solid_state_battery,2.0,0.5,0.0,0.5,0.90952372
lucid,fast_charging,16.0,0.9375,0.0,0.0625,0.930596266875
